state	county	lat	lon
Arkansas	Randolph County	36.3413	-91.0284
Arkansas	Saline County	34.6485	-92.6745
Arkansas	Scott County	34.8589	-94.0636
Arkansas	Searcy County	35.8964	-92.6959
Arkansas	Sebastian County	35.1970	-94.2750
Arkansas	Sevier County	33.9949	-94.2433
Arkansas	Sharp County	36.1734	-91.4711
Arkansas	St. Francis County	35.0228	-90.7515
Arkansas	Stone County	35.8570	-92.1405
Arkansas	Union County	33.1682	-92.5981
Arkansas	Van Buren County	35.5830	-92.5160
Arkansas	Washington County	35.9780	-94.2173
Arkansas	White County	35.2551	-91.7530
Arkansas	Woodruff County	35.1928	-91.2445
Arkansas	Yell County	34.9977	-93.4083
California	Alameda County	37.6471	-121.9125
California	Alpine County	38.6218	-119.7984
California	Amador County	38.4435	-120.6539
California	Butte County	39.6653	-121.6032
California	Calaveras County	38.1911	-120.5541
California	Colusa County	39.1777	-122.2376
California	Contra Costa County	37.9195	-121.9515
California	Del Norte County	41.7499	-123.9810
California	El Dorado County	38.7856	-120.5342
California	Fresno County	36.7610	-119.6550
California	Glenn County	39.6025	-122.4017
California	Humboldt County	40.7067	-123.9262
California	Imperial County	33.0408	-115.3554
California	Inyo County	36.5622	-117.4042
California	Kern County	35.3466	-118.7295
California	Kings County	36.0725	-119.8155
California	Lake County	39.1080	-122.7452
California	Lassen County	40.7153	-120.6212
California	Los Angeles County	34.1964	-118.2619
California	Madera County	37.2098	-119.7498
California	Marin County	38.0514	-122.7464
California	Mariposa County	37.5743	-119.9117
California	Mendocino County	39.4324	-123.4429
California	Merced County	37.1948	-120.7228
California	Modoc County	41.5929	-120.7184
California	Mono County	37.9158	-118.8752
California	Monterey County	36.2401	-121.3156
California	Napa County	38.5071	-122.3259
California	Nevada County	39.2975	-120.7713
California	Orange County	33.6757	-117.7772
California	Placer County	39.0620	-120.7227
California	Plumas County	39.9923	-120.8244
California	Riverside County	33.7298	-116.0022
California	Sacramento County	38.4501	-121.3443
California	San Benito County	36.6117	-121.0858
California	San Bernardino County	34.8567	-116.1816
California	San Diego County	33.0236	-116.7761
California	San Francisco County	37.7272	-123.0322
California	San Joaquin County	37.9350	-121.2722
California	San Luis Obispo County	35.3882	-120.4489
California	San Mateo County	37.4147	-122.3715
California	Santa Barbara County	34.5367	-120.0384
California	Santa Clara County	37.2216	-121.6895
California	Santa Cruz County	37.0123	-122.0078
California	Shasta County	40.7605	-122.0436
California	Sierra County	39.5769	-120.5220
California	Siskiyou County	41.5880	-122.5333
California	Solano County	38.2672	-121.9396
California	Sonoma County	38.5252	-122.9261
California	Stanislaus County	37.5623	-121.0028
California	Sutter County	39.0362	-121.7039
California	Tehama County	40.1262	-122.2323
California	Trinity County	40.6479	-123.1147
California	Tulare County	36.2288	-118.7811
California	Tuolumne County	38.0214	-119.9647
California	Ventura County	34.3587	-119.1331
California	Yolo County	38.6796	-121.9027
California	Yuba County	39.2701	-121.3443
Colorado	Adams County	39.8743	-104.3319
Colorado	Alamosa County	37.5684	-105.7880
Colorado	Arapahoe County	39.6446	-104.3317
Colorado	Archuleta County	37.2024	-107.0509
Colorado	Baca County	37.3098	-102.5437
Colorado	Bent County	37.9319	-103.0776
Colorado	Boulder County	40.0950	-105.3977
Colorado	Broomfield County	39.9536	-105.0508
Colorado	Chaffee County	38.7346	-106.3000
Colorado	Cheyenne County	38.8356	-102.6018
Colorado	Clear Creek County	39.6894	-105.6708
Colorado	Conejos County	37.2134	-106.1764
Colorado	Costilla County	37.2775	-105.4289
Colorado	Crowley County	38.3062	-103.7727
Colorado	Custer County	38.1020	-105.3735
Colorado	Delta County	38.8616	-107.8649
Colorado	Denver County	39.7619	-104.8811
Colorado	Dolores County	37.7338	-108.5062
Colorado	Douglas County	39.3254	-104.9260
Colorado	Eagle County	39.6270	-106.6952
Colorado	El Paso County	38.8274	-104.5275
Colorado	Elbert County	39.3152	-104.1141
Colorado	Fremont County	38.4552	-105.4250
Colorado	Garfield County	39.5994	-107.9098
Colorado	Gilpin County	39.8612	-105.5289
Colorado	Grand County	40.1131	-106.1108
Colorado	Gunnison County	38.6705	-107.0569
Colorado	Hinsdale County	37.8115	-107.3840
Colorado	Huerfano County	37.6878	-104.9599
Colorado	Jackson County	40.6634	-106.3292
Colorado	Jefferson County	39.5795	-105.2455
Colorado	Kiowa County	38.3877	-102.7568
Colorado	Kit Carson County	39.3053	-102.6030
Colorado	La Plata County	37.2874	-107.8397
Colorado	Lake County	39.2053	-106.3501
Colorado	Larimer County	40.6581	-105.4868
Colorado	Las Animas County	37.3188	-104.0441
Colorado	Lincoln County	38.9937	-103.5076
Colorado	Logan County	40.7281	-103.0905
Colorado	Mesa County	39.0195	-108.4606
Colorado	Mineral County	37.5491	-107.0032
Colorado	Moffat County	40.6109	-108.2172
Colorado	Montezuma County	37.3380	-108.5958
Colorado	Montrose County	38.4075	-108.2663
Colorado	Morgan County	40.2632	-103.8122
Colorado	Otero County	37.8842	-103.7213
Colorado	Ouray County	38.1547	-107.7885
Colorado	Park County	39.1189	-105.7176
Colorado	Phillips County	40.5947	-102.3451
Colorado	Pitkin County	39.2175	-106.9162
Colorado	Prowers County	37.9582	-102.3922
Colorado	Pueblo County	38.1628	-104.4847
Colorado	Rio Blanco County	39.9726	-108.2007
Colorado	Rio Grande County	37.4859	-106.4531
