state   county   lat  lon
South Dakota	Douglas County	43.3915	-98.3584
Maryland	Worcester County	38.2221	-75.3099
Illinois	Wabash County	38.4458	-87.8392
Indiana	Huntington County	40.8264	-85.4786
Kentucky	Scott County	38.2857	-84.5783
Iowa	Decatur County	40.7364	-93.7846
Indiana	Wabash County	40.8437	-85.7952
Indiana	Allen County	41.0919	-85.0718
Indiana	Marshall County	41.3250	-86.2690
Nebraska	Thomas County	41.8557	-100.5247
North Dakota	Sioux County	46.1106	-101.0613
Texas	Dimmit County	28.4236	-99.7659
Minnesota	Fillmore County	43.6792	-92.0939
South Carolina	Chester County	34.6893	-81.1612
Minnesota	Lac qui Parle County	44.9999	-96.1768
Utah	Cache County	41.7341	-111.7454
Wisconsin	Pierce County	44.7253	-92.4263
Georgia	Charlton County	30.7799	-82.1396
Georgia	Polk County	33.9960	-85.1883
Illinois	McLean County	40.4946	-88.8445
Maine	Androscoggin County	44.1677	-70.2074
Idaho	Kootenai County	47.6760	-116.6959
Nevada	Clark County	36.2141	-115.0144
Kansas	Phillips County	39.7845	-99.3421
Nebraska	Holt County	42.4593	-98.7848
Missouri	Johnson County	38.7415	-93.8119
Wisconsin	La Crosse County	43.9082	-91.1118
Louisiana	Caldwell Parish	32.1012	-92.1142
Kentucky	Edmonson County	37.2275	-86.2180
Illinois	Bond County	38.8859	-89.4366
Illinois	Brown County	39.9621	-90.7503
Minnesota	McLeod County	44.8217	-94.2723
Wisconsin	Dunn County	44.9478	-91.8976
Colorado	Custer County	38.1020	-105.3735
Missouri	Madison County	37.4745	-90.3434
Texas	Nolan County	32.3123	-100.4181
Pennsylvania	Wayne County	41.6466	-75.2925
New York	Saratoga County	43.1061	-73.8554
Texas	Brazos County	30.6567	-96.3024
Oklahoma	Marshall County	34.0270	-96.7705
Maryland	Allegany County	39.6123	-78.7031
West Virginia	Wetzel County	39.5982	-80.6354
Wisconsin	Jackson County	44.3246	-90.7995
Oregon	Clatsop County	46.0245	-123.7050
Washington	Lewis County	46.5801	-122.3774
New York	Allegany County	42.2479	-78.0262
Iowa	Cedar County	41.7724	-91.1326
Indiana	Orange County	38.5474	-86.4893
Georgia	DeKalb County	33.7707	-84.2263
Georgia	Pickens County	34.4567	-84.4904
Montana	Chouteau County	47.8868	-110.4362
Nebraska	Brown County	42.3596	-99.9239
Tennessee	Campbell County	36.4016	-84.1592
North Carolina	Franklin County	36.0882	-78.2831
Maryland	Baltimore city	39.3000	-76.6105
Kansas	Lyon County	38.4554	-96.1616
Iowa	Carroll County	42.0395	-94.8676
Louisiana	Tensas Parish	32.0015	-91.3426
Tennessee	Monroe County	35.4478	-84.2497
Kansas	Hamilton County	37.9952	-101.7937
Iowa	Pocahontas County	42.7340	-94.6783
Idaho	Gem County	44.0615	-116.3988
Arkansas	Independence County	35.7375	-91.5599
Arkansas	Lonoke County	34.7551	-91.8941
Indiana	Newton County	40.9624	-87.4022
Georgia	Franklin County	34.3753	-83.2275
Florida	Hendry County	26.5400	-81.1521
Georgia	Taliaferro County	33.5593	-82.8753
Texas	Jefferson County	29.8540	-94.1493
Montana	Meagher County	46.5857	-110.9217
Colorado	La Plata County	37.2874	-107.8397
Texas	Bell County	31.0427	-97.4813
Mississippi	Kemper County	32.7501	-88.6256
Arkansas	Clark County	34.0533	-93.1762
Oregon	Klamath County	42.6838	-121.6462
New York	Oswego County	43.4614	-76.2093
Alabama	Cherokee County	34.0695	-85.6542
Texas	Bandera County	29.7564	-99.2483
Montana	Rosebud County	46.1732	-106.6668
New Mexico	Union County	36.4881	-103.4757
